Variable Name;Variable Label;Variable Scale;;;
id;Participants ID number;string;;;
age;age at questionnaire 20-21;numeric;;;
year;CURICULUM YEAR : In which curriculum year are you?;"1=Bmed1; 2=Bmed2; 3=Bmed3; 4=Mmed1; 5=Mmed2; 6=Mmed3";;;
sex;GENDER : To which gender do you identify the most ?;"1=Man; 2=Woman; 3=Non-binary";;;
glang;MOTHER TONGUE: What is your mother tongue?;"1=French; 15=German; 20=English; 37=Arab; 51=Basque; 52=Bulgarian; 53=Catalan; 54=Chinese; 59=Korean; 60=Croatian; 62=Danish; 63=Spanish; 82=Estonian; 83=Finnish; 84=Galician; 85=Greek; 86=Hebrew; 87=Hindi; 88=Hungarian; 89=Indonesian; 90=Italian; 92=Japanese; 93=Kazakh; 94=Latvian; 95=Lithuanian; 96=Malay; 98=Dutch; 100=Norwegian; 101=Polish; 102=Portuguese; 104=Romanian; 106=Russian; 108=Serbian; 112=Slovak; 113=Slovenian; 114=Swedish; 116=Czech; 117=Thai; 118=Turkish; 119=Ukrainian; 120=Vietnamese; 121=Other";;;
part;PARTNERSHIP STATUS : Do you have a partner?;"0=No; 1=Yes";;;
job;HAVING A JOB : Do you have a paid job?;"0=No; 1=Yes";;;
stud_h;HOURS OF STUDY PER WEEK : On average, how many hours per week do you study on top of courses?;;;;
health;SATISFACTION WITH HEALTH : How satisfied are you with your health?;"1=Verydissatisfied; 2=Dissatisfied; 3=Neithersatisfiednordissatisfied; 4=Satisfied; 5=Verysatisfied";;;
psyt;PSYCHOTHERAPY LAST YEAR : During the last 12 months, have you ever consulted a psychotherapist or a psychiatrist for your health?;"0=No; 1=Yes";;;
jspe;JSPE total empathy score;numeric;;;
qcae_cog;QCAE Cognitive empathy score;numeric;;;
qcae_aff;QCAE Affective empathy score;numeric;;;
amsp;AMSP total score;numeric;;;
erec_mean;GERT : mean value of correct responses;numeric;;;
cesd;CES-D total score;numeric;;;
stai_t;STAI score;numeric;;;
mbi_ex;MBI Emotional Exhaustion;numeric;;;
mbi_cy;MBI Cynicism ;numeric;;;
mbi_ea;MBI Academic Efficacy ;numeric;;;
